"Data Source","World Development Indicators","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated Date","2/21/2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","405586592.17877","487709497.2067","596648044.69274","695530726.25698","764804469.27374","872067039.10615","958659217.87709","1083240223.4637","1245810055.8659","1320670391.0615","1379888268.1564","1531843575.419","1665363128.4916","1722905027.933","1873452513.9665","1896456983.2402","1961843575.419","2044111731.8436","2254830726.257","2360017318.4358","2469782681.5642","2677641340.7821","2843024581.0056","2553793296.0894","2453597206.7039","2637859217.8771","2615208379.8883","2727849720.6704","2790849720.6704","2962907262.5698","2983635195.5307","3092429050.2793","3276184357.5419","3395798882.6816","2558906303.881","3103184101.5135","3544707788.0566"
"Africa Eastern and Southern","AFE","GDP (current US$)","NY.GDP.MKTP.CD","18478095142.178","19366314294.088","20506467177.87","22242734491.041","24294329779.904","26619560806.504","28732792825.156","31592963095.075","34216506003.772","38498685902.32","41938907715.592","45920167032.339","49440744172.338","64933825429.426","79888146173.009","84955085378.787","85050300129.217","94566922081.613","105623414443.52","125656371097.88","166475050971.98","173673510912.35","164114068718.6","175108664048.27","162752141155.35","135795509169.57","153368683414.31","186594742538.67","205635932770.81","218577418670.29","254673510115.59","275622021261.09","240210577721.91","238353057845.69","241158029890.41","270813961389.26","268992901985.37","284065411886.65","267286689939.3","263674195227.71","285403765401.25","260218617002.67","267142068310.1","354907412306.55","441359590323.39","514927086452.79","578633287253.35","664099392606.4","711800460143.43","723512528253.91","867040920627.22","971667511047.11","979996860991.41","986342932619.11","1006992481353.9","932513471557.12","890051427266","1028394291260.6","1012521425296.4","1006191000190.5","928880235176.59","1086530704900.5","1185137703651"
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","537777811.11111","548888895.55556","546666677.77778","751111191.11111","800000044.44444","1006666637.7778","1399999966.6667","1673333417.7778","1373333366.6667","1408888922.2222","1748886595.5556","1831108971.1111","1595555475.5556","1733333264.4444","2155555497.7778","2366666615.5556","2555555566.6667","2953333417.7778","3300000108.8889","3697940409.611","3641723321.9955","3478787909.0909","","","","","","","","","","","","","","","","","","","","","3825701405.5196","4520946849.3208","5224896718.6778","6203256497.0904","6971758332.8892","9747886104.5325","10109296957.657","12416152648.057","15856668496.388","17805098367.295","19907329905.978","20146416876.389","20497128600.336","19134221744.529","18116572399.13","18753456506.571","18053222734.888","18799444414.6","19955929060.841","14266499429.875",""
"Africa Western and Central","AFW","GDP (current US$)","NY.GDP.MKTP.CD","10411646287.306","11135924727.941","11951712282.043","12685805889.894","13848998668.618","14874755833.538","15845575303.222","14428492961.855","14880501861.118","16882284662.366","23504960311.923","20843326170.63","25269456358.529","31841146881.858","44215328355.869","51445309626.48","62129985410.066","65316034540.712","71200526845.375","88629333635.716","112032331232.33","211005911802.92","187165406370.03","138116898441.3","114263904328.18","116508527443.66","107507001440.38","110281682790.5","108944735237.17","101770140749.66","121803568895.99","127939039832.69","122575953686.49","127980941949.7","133143476720.14","205687093879.59","261262106172.31","274376968923.5","294949797405.74","137292485423.69","140132777859.08","147524718751.25","176588559103.84","204455023741.49","253453654650.34","310070743908.93","396077046021.05","465627259599.13","567853448132.05","508492534468.29","598607469639.53","682176065823.12","737739503299.73","834097010134.99","894505003403.49","769263195356.95","692114931613.25","685630289666.51","768158194632.4","823405580187.91","786962436538.39","844927536437.83","875393693658.08"
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","5934073603.6789","5553824463.8796","5553824463.8796","5787823808.6957","6135166254.1806","7558613008.0268","7076793822.7425","8089279284.6154","8775116269.2308","10207922517.057","11236275842.809","10401188707.281","8307826847.3983","6084688935.8003","4438321017.3907","5538749259.9471","6535434716.0022","7675412600.6651","6506381416.5324","6152922942.2454","9129594815.5766","8936079251.4209","15285592486.253","17812704627.028","23552057820.46","36970901023.789","52381025102.321","65266415706.974","88538664884.265","70307196474.127","83799473759.72","111789747670.59","128052915202.99","132339108708.41","135966802156.54","90496420626.179","52761617225.925","73690155046.555","79450688232.001","70897962712.621","48501561230.001","66505129989.243","106782770714.62"
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1857337995.338","1897050116.5501","2097326250","2080796250","2051236250","2253090000","2028553750","1099559027.7778","652174990.8373","1185315468.463","1880950864.4131","2392764853.4211","3199640815.4163","2258513974.0968","2545964540.8838","3212121650.9776","3480355258.0412","3922100793.5403","4348068242.1951","5611496257.1423","7184685781.5188","8052077248.1464","8896075004.6352","10677324852.882","12881352893.686","12044205549.657","11926926615.802","12890760315.146","12319834195.331","12776224496.972","13228147516.117","11386853113.019","11861199830.84","13019726211.737","15156424015.198","15401826127.254","15162734205.246","17930565118.818","18916378860.549"
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78617711.096533","89406608.145815","113414397.36563","150841639.29744","186557081.99814","220112572.20533","227283850.83127","253997897.22697","308020261.16415","411548748.35473","446377776.798","388983266.19989","375914743.58101","327850042.51587","330073080.6371","346742714.67515","481996012.86907","611299924.54051","721425939.15155","795489582.04491","1028989692.0679","1106891361.5395","1209992020.2954","1007090269.8696","1017544068.8408","1178745282.8678","1224024139.213","1180645571.8643","1211953994.0571","1239840639.5725","1429047881.8427","1546912331.8807","1755989353.9328","2361636235.1783","2895047587.1189","3159826891.5087","3456264324.6301","3952395030.097","4085780202.8784","3674190066.445","3449925693.5818","3629133062.5517","3188653258.61","3193513470.4394","3271686452.4769","2789882569.1005","2896611878.6258","3000160414.6379","3218418631.6758","3155150255.9119","2891002460.2915","3325143693.2871","3352031094.2291"
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","35102917960.309","38249920379.119","43245967541.034","49980195754.662","59593479016.599","75614829099.282","143722246048.17","158820613451.28","197693822439.77","228193318228","252397273549.8","341727182381.66","464922706719.98","480094377493.22","449527418217.14","423119939334.2","430640108344.54","424154835582.95","411512791338.67","445512045932.98","429625737199.95","460896461734.44","651231622555.59","480685955944.02","485480997990.05","499344733364.61","531889376829.68","564846181458.45","615168379200.27","662599381239.79","649474839551","717783506460.08","820573600760.52","803225963243.44","808316115359.46","894211049434.97","1063199673336.6","1304960956754.7","1546220845671.5","1798723747331.2","2264025451574.7","1987928421954.2","2346088525053.1","2567292128049.5","2802930798518.4","2860928547664.8","2907245176944.3","2555806089294.9","2539393624580","2639754813075.3","2845898419150.4","2871654771803.3","2535508549307.3","2930480380718.3","3543339785306"
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","14720728248.536","19213158778.793","24871775164.604","23775764224.683","31225659620.995","43599160050.332","49333424135.113","46622718605.285","42803323345.138","41807954235.903","40603650231.545","33943612094.797","36384908744.211","36275674203.214","41464995913.92","50701443748.297","51552165622.446","54239171887.769","55625170253.337","59305093979.842","65743666575.865","73571233996.186","78839008444.566","75674336283.186","84445473110.96","104337372362.15","103311640571.82","109816201497.62","124346358066.71","147824370319.95","180617467964.6","222116541865.21","257916133424.1","315474615738.6","253547358747.45","300189052694.03","360832739558.39","384610125384.03","400218529747.6","414105366758.91","370275469560.17","369255326235.77","390516804016.5","427049432149.35","417989721734.49","349473015336.94","415178792769.88","507063968273.31"
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","109490000000","112988571428.57","88416666666.667","106213829787.23","109029439252.34","126928000000","76629657863.656","141352654305.16","189719984268.48","228778917308.17","236741715015.02","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","97724004251.86","127586973492.18","164657930452.79","198737095012.28","232557260817.31","287530508430.57","361558037110.42","332976484577.62","423627422092.49","530158122010.44","545982375701.13","552025140252.25","526319673731.64","594749285413.21","557532320662.95","643628393281.36","524819892360.18","447754683615.22","385740508436.97","487902572164.35","631133384439.94"
